rg,smi,lable
[Zn][Sc][Mn][Mn]([Ni][Co][Zn][Ni][Zn])[Zn][Ni][Zn],COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC,
[Zn][Sc]([Sc][Ni][Co][Zn][Hf])[Ni][Co][Hf],Cc1ccc(C(=O)NC2CCCCC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,
[Cu][Zn][Ni][Hf][Mn]([Zn])=[Sc][Sc][Zn],Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)C(C)O)CC2)c(=O)n4C)cn1,
[Ni][Sc][Zn][Co][Sc]([Zn])[Co][Ti][Ni][Zn],CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)n[nH]1,
[Sc]=[Sc][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NCc3cccc(Nc4nc5ccccc5s4)c3)ncnc12,
[Sc][Sc]([Zn])=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn][Y],O=C(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1)Nc1ccc(CN2CCCCC2)cc1,
[Sc][Zn]([Hf])[Ni][Co][Sc]=[Ti][Sc][Ni][Y][Zn],CN1CCC(Oc2ccc(-c3n[nH]c4ccc(NC(=O)C(c5ccsc5)C5CCCC5)cc34)cc2)CC1,
[Sc]=[Sc][Zn]1[Zn][Ni][Co][Zn]([Zn])[Zn]1[Ni][Co][Sc]=[Ti],CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc3ccccc3c2)CC(=O)N1,
[Co][Sc][Ti][Sc][Ni],Nc1nccc(-c2c[nH]c3ncc(-c4ccc(F)cc4)cc23)n1,
[Co][Sc]([Sc][Zn])=[Sc][Sc][Co][Ni][Co][Sc][Zn],CCc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1,
[Sc]=[Ti][Zn][Zn][Sc][Co][Ni][Co][Sc][Zn],O=C(Nc1cccc(Cl)c1)Nc1ncc(CCN=c2[nH]cnc3ccsc23)s1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Hf]([Zn])[Zn],CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CC2(F)F)c1,
[Sc]=[Sc][Sc]([Ni])[Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn],COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(F)c3)c2cc1OCCCN1CCN(C)CC1,
[Sc][Zn][Co][Sc]=[Ti][Sc][Co][Ni][Zn][Mo],O=C(O)C=CC(=O)Nc1cccc(-c2n[nH]c3ccc(NCc4ccccc4)cc23)c1,
[Ni][Mn]([Zn])[Sc]([Zn])[Zn],Cc1nn2c(C=O)c(-c3cc(Cl)sc3Cl)nc2s1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Zn]1[Zn][Zn][Zn]([Zn])[Zn]([Ni])[Zn]1,NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4=CC(F)C(Cl)C=C4)c3)ncnc12,
[Sc]=[Re][Zn][Sc](=[Sc])[Zn],Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21,
[Zn][Sc][Zn][Y][Mn]([Zn])[Sc][Zn][Nb],Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN)cc5)nc34)CC2)no1,
[Ni][Sc][Mn][Zn][Zn][Nb],N=C(N)NN=Cc1c(-c2ccccc2F)nc2sccn12,
[Sc][Ni][Zn][Nb][Zn][Sc][Sc]=[Sc][Co][Sc]([Zn])[Ni][Zn][Sc][Ni],O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,
[Zn][Sc][Zn]1[Zn][Ni][Co][Zn]([Zn])[Zn]1[Ni][Co][Sc]=[Ti][Zn],CC1=C(C(=O)Nc2ccc3[nH]nc(C)c3c2)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,
[Zn][Co][Ni][Sc]=[Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2nccc(Oc3ccc4c(C(=O)NC(C)(C)C)cccc4c3)c2cc1OC,
[Sc][Co][Sc]1[Zn][Zn][Sc]1([Zn])[Ni][Co][Zn][Sc],Cn1nc(C(=O)NCCc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,
[Sc]=[Ti][Mn][Zn],CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,
[Hf][Co][Ni][Sc][Sc][Ni][Co][Zn][Hf],O=C(NCC1CC1)c1ccc(-c2cccc(C(=O)NC3CC3)c2)cc1,
[Zn][Ti][Co][Sc]([Co][Sc][W])[Y][Zn],Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc(N4CCOCC4)cc3)n2)n[nH]1,
[Sc][Ni][Sc](=[Sc])[Co][Ti][Zn],Cc1cc(Nc2nc(C(=O)c3ccccc3)nc3ccccc23)n[nH]1,
[Sc][Co][Ni][Co][Sc],O=C(Nc1ccccc1)Nc1nccs1,
[Ti][Sc][Co][Sc]([Ni])[Co][Sc][Zn],Fc1cnc(Nc2ccc(-c3nnn[nH]3)cc2)nc1Nc1ccccc1Cl,
[Sc]=[Sc][Co][Ni][Co][Sc]([Zn])[Sc][Ni][Co][Zn][Nb]([Zn])[Zn],CCN(CC)CCNC(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ncnc12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Ti][Zn]([Zn])[Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)F)n[nH]2)c1,
[Sc][Co][Sc]1[Zn][Zn][Sc]1([Zn])[Ni][Co][Zn][Sc],Cn1nc(C(=O)NCc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,
[Co][Sc]([Sc][Zn])=[Sc][Sc][Co][Ni][Co][Sc][Ni],CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,
[Zn][Sc][Zn][Y][Mn]([Zn])[Sc][Hf][Ni][Zn],CC(=O)N1CCN(c2ccc(-c3nc4c(N5CCN(Cc6cc(C)on6)CC5)c(Br)cnc4[nH]3)cc2)CC1,
[Ni][Sc]([Mn]([Zn])[Zn][Zn][Nb])[Nb]([Zn])[Mo],Cc1cn2c(C=NNC(=N)N)c(-c3ccc(F)c([N+](=O)[O-])c3)nc2s1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)nc4)c3)ncnc12,
