rg,smi,lable
[Sc][Co][Ni][Zn][Y][Mn]([Zn])[Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5ccccc5)CC4)c(Cl)cnc3[nH]2)cc1,
[Zn][Co][Ni][Sc]=[Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn],CNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,
[Sc][Hf]([Ni][Sc]([Ni])[Zn])[Zn][Sc][Co][Ti],Fc1c(OC2CCC(Cc3cccc(Nc4cc[nH]n4)n3)(c3nncs3)CC2)cccc1C(F)(F)F,
[Sc][Ni][Co][Sc](=[Sc][Co][Zn][Sc]([Zn])[Zn])[Ni][Co],NC(=O)c1cc(NC(=O)c2ccno2)cc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(Br)c4)c3)ncnc12,
[Ni][Sc][Co][Sc]([Co][Ti][Zn])[Y][Zn],Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc(F)cc3)n2)n[nH]1,
[Zn][Co][Ni][Sc]=[Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn],CCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,
[Ti]=[Sc][Hf],c1cc2c(ncc3onc(C4CCCCC4)c32)[nH]1,
[Ni][Sc]1([Ni][Zn])[Co][Ti]([Zn])[Zn][Ni]1[Sc][Zn],COc1cc2c(cc1F)C(c1ccccc1Cl)=Nc1c(n[nH]c1C)N2,
[Zn][Sc][Zn][Y][Mn]([Zn])[Sc][Ni][Zn],COc1ccc(-c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Br)cnc3[nH]2)cc1,
[Co][Sc][Mn][Zn],Cn1c(-c2nonc2N)nc2cnccc21,
[Ni][Sc]([Sc]=[Sc][Zn])[Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn],COc1cc2c(Nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,
[Sc]=[Sc]([Sc][Zn])[Ni][Zn][Re],CC(Oc1nc(-c2cnn(C)c2)cc2nscc12)C1CNC(=O)C1,
[Sc]=[Sc]([Co][Ni][Mo])[Zn]([Zn])[Zn],CN(C)c1cc2sncc2cc1NC(=O)C(=O)O,
[Sc][V]([Zn])([Ni][Co][Sc][Ni][Sc]=[Sc][Ni][Zn])[Zn][Cu],COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,
[Zn][Sc][Ti]([Zn])[Sc][Zn][Co][Ni][Zn],Cn1cc(-c2[nH]c3ncc(Cl)cc3c2-c2cccc(CNS(C)(=O)=O)c2)cn1,
[Sc]=[Sc]([Zn])[Zn][Ni][Sc]([Cu])[Cu],Cc1cc(N=Cc2ccc(O)c(O)c2)c2ccccc2n1,
[Sc][Sc]([Zn])=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn][Nb]([Zn])[Zn],CCN(C)Cc1cccc(NC(=O)Nc2ccc(CCNc3ncnc4oc(-c5ccccc5)c(Cl)c34)cc2)c1,
[Sc]=[Ti][Ti][Zn],Cc1cc(-c2cc3ccccc3[nH]2)n[nH]1,
[Ti]=[Sc]([Zn])=[Sc][Co][Ni][Zn][Co][Sc][Ni][Co][Zn][Mo],CC(C)(Nc1cccc(C(=O)NCCCC(=O)O)c1)C(=O)Nc1nc2c(C(F)(F)F)cc3[nH]ncc3c2s1,
[Zn][Mn][Zn][Zn]([Zn])[Sc][Co][Ti][W],CN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CCC(=O)C3)[nH]n2)n1,
[Sc]=[Cr][Sc][Zn][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NCc3cccc(-n4c(=O)[nH]c5ccccc5c4=O)c3)ncnc12,
[Zn][Ni][Sc][Nb]1[Co][Zn][Zn][Zn]1,COc1ccccc1-c1nc2ccc[nH]c-2n1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Hf][Ni][Hf][Ni][Ni][Zn],CCOC(=O)N1CCC(C(=O)N2CCC(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)CC2)CC1,
[Sc][V]([Co])[Zn],Cn1cc(-c2ccncc2)cc(N)c1=O,
[Sc][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc],O=C(Nc1ccccc1)Nc1ccc(CCNc2ncnc3occ(-c4ccccc4)c23)cc1,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],Cc1ccc(NC(=O)Nc2ccc(CNc3nc4ccc(OCCN5CCOCC5)cc4o3)cc2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Zn]1[Zn][Zn][Zn][Zn]([Co][Ni][Sc]([Ni])[Ni][Zn])[Zn]1)[Nb]([Zn])[Zn],COc1ccc(C(=O)NC2=CC(C(CCN(C)C)Nc3ncnc4c(C(N)=O)cccc34)=CCC2)c(F)c1,
[Sc][Zn][Co][Sc][Ni][Co][Zn]1[Zn][Zn][Zn]2[Co][Zn][Zn][Zn]2[Zn]1,O=C(NC1=CC2C=NNC2C=C1)c1nscc1NCc1ccncc1,
[Sc][Zn][Co][Ni][Ti]([Zn])[Co][Zn][Zn][Sc][Ni][Zn],COc1ccc(C=NNc2[nH]nc(C)c2C(=O)NCCc2cccnc2)cc1,
[Ni][Sc]([Co][Sc][Cu])[Co][Sc][Ni][Co][Sc][Zn],O=C(Nc1cccc(Cl)c1)c1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1,
[Co][Sc]([Zn])=[Sc][Sc][Co][Ni][Co][Sc][Zn],Cc1cccc(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1,
[Zn][Ni][Sc]([Ni][Zn])([Mn]([Zn])[Zn][Zn][Nb])[Nb]([Zn])[Mo],COc1cc([N+](=O)[O-])c(OC)cc1-c1nc2sc(C)nn2c1C=NNC(=N)N,
[Zn][Ti][Co][Sc]([Co][Sc][Ni][Ni][Zn])[W]([Zn])[Zn],COC(=O)c1ccc(Nc2nc(Nc3cc(C)[nH]n3)cc(N3CC(C)OC(C)C3)n2)cc1,
[Zn][Sc][Mn][Co][Sc][Ni][Zn],COc1ccc(Nc2nc(-c3ccn(C)n3)cn3ccnc23)cc1,
[Sc]=[Sc][Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y],COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,
[Sc][Sc]([Sc])=[Sc][Co][Zn][Cu],CC(O)CNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,
[Zn][Ni][Zn]([Sc][Co][Sc]=[Sc][Hf])[Zn][Y],CS(=O)(=O)N(CCCN1CCCCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Sc]=[Sc][Ni][Zn][Y],Cc1ccc(NC(=O)Nc2nnc(Sc3ncnc4cc(OCCCN5CCOCC5)ccc34)s2)cc1,
[Sc]=[W][Ni][Co][Sc]([Ti])[Ni][Zn][Nb]([Zn])[Zn],CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,
[Co][Sc]([Sc][Zn])=[Sc][Sc][Co][Ni][Co][Sc][Zn],Cc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Ni])[Nb]([Zn])[Zn],CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1ccc(F)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn][Zn],N#Cc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)nc2)c1,
[Zn][Sc][Zn][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y][Zn],Cc1cn2c(-c3cnn(CC(=O)NCc4cccc(C(F)(F)F)c4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,
[Zn][Sc]([Mn][Zn][Zn][Nb])[Nb]([Zn])[Mo],N=C(N)NN=Cc1c(-c2ccc(Br)c([N+](=O)[O-])c2)nc2sccn12,
[Sc][Zn][Ti]=[Sc]([Zn])[Co][Ni][Zn][Sc],Cc1cc2[nH]nc(C#Cc3ccccc3)c2cc1NC(=O)Cc1cccs1,
[Sc][Zn][Ti]=[Sc]([Hf])[Co][Zn][Sc],C(=Cc1n[nH]c2cc(N3CCCC3)c(NCc3ccccn3)cc12)c1ccccc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1OC,
[Ni][Mn][Sc]([Ni][Zn])([Ni][Zn])[Nb]([Zn])[Mo],COc1cc([N+](=O)[O-])c(OC)cc1-c1nc2ccccn2c1C=O,
[Ni][Sc][Sc][Zn][Co][Sc][Zn],Cc1ccc(NCc2ccc(-c3ccc(F)cc3)nc2)cc1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y],Cc1cn2c(-c3cnn(CC(=O)Nc4cc(F)cc(F)c4)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,
[Mn][Zn][Re]=[Sc][Ni][Zn],COc1ccc2c(c1)C(=Cc1c[nH]cn1)C(=O)N2,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Co][Ni][Zn],CC(=O)Nc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,
[Zn][Sc][Co][Sc][Co][Sc][Ni][Co][Zn][Ni][Zn],COCCNC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,
[Sc]=[Re][W](=[Sc])[Zn],CN1C(=O)C(=C2C(=O)Nc3ccccc32)c2ccccc21,
[Co][Ni][Sc]([Zn])[Co][Sc][Zn]([Zn])[Sc]=[Sc]([Zn])[Zn],Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,
[Co][Ni][Sc]([Zn])=[Sc][Co][Zn][Sc][Ni],Cc1cc(C(N)=O)c2ncnc(NCc3cccc(F)c3)c2c1,
[Sc][Sc]([Sc][Zn])[Ni][Co][Sc][Zn],O=C(Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,
[Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc]=[Ti],O=C(Nc1ncc(CCNc2ncnc3ccsc23)s1)Nc1cccc2cc[nH]c12,
[Sc][Zn][Sc][Co][Ni][Ti]=[Hf]([Zn])=[Hf],CC12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3CC1C2,
[Ni][Sc]([Zn])[Zn]([Cu])[Co][Ni][Hf]=[Sc][Co][W],O=C(NC(CO)c1ccc(Cl)c(F)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Y],NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4CCCNC4)c3)ncnc12,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn])[Ni][Zn][Nb]([Zn])[Zn],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(OCCCN(C)C)cc34)c2)cc1,
[Co][Ni][Sc][Co][Sc][Co][Sc][Mo],NC(=O)c1ccccc1Nc1nccc(Nc2ccccc2C(=O)O)n1,
[Sc][Sc]([Co][Ti][Zn])[Zn][Sc][Co][Ni][Zn],CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(-c3ccccc3)n2)cc1,
[Sc]=[Sc][Sc]([Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn])[Ni][Zn],COc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2cc(OC)c(OCCCN3CCN(C)CC3)cc12,
[Zn][Co][Ni][Co][Sc][Sc]([Zn])[Ti][Sc][Zn][Y],CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4ccc(CN5CCCC5)cc4)cc23)cc1,
[Sc][Zn]([Cu])[Ni][Hf]=[Ti][Co][Ni][Sc][Y][Zn],CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)C(O)c3ccccc3)C4)cc2)CC1,
[Ni][Sc][Co][Ni][Zn][Ti][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Nb]([Zn])[Zn][Cu],CCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)c2cc1OC,
[Co][Ni][Sc][Co][Sc][Zn]([Zn])[Sc][Co][Ni][Co][Sc][Ni][Zn],CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,
[Sc][Zn][Ni][Sc][Sc](=[Sc][Co])[Hf][Y],Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CCC(N2CCCC2)CC1,
[Zn][Sc][Co][Ni][Co][Sc]=[Sc][Zn],O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2c(C(F)(F)F)cccc12,
[Sc][Zn][Y][Mn]([Zn])[Sc][Zn][Y],Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2ccncc2)CC1,
[Co][Ni][Sc](=[Sc][Co][Zn]([Sc][Ni][Zn])[Nb]([Zn])[Zn])[Ni][Zn],COc1cc(C(N)=O)c2ncnc(NC(CN(C)C)c3ccccc3OC)c2c1,
[Co][Ni][Sc]([Zn])[Co][Sc]=[Sc][Hf],Cn1cc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1C(N)=O,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Zn])[Zn],Cc1cc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)ccc1Cl,
[Ni][Sc][Ni][Co][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn][Cu],COc1cc2c(Nc3ncc(CNC(=O)c4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,
[Ni][Sc][Ni][Co][Sc]=[Ti][Sc][Co][Ni][Zn][Mo],O=C(O)C=CC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccc(F)cc4)cc23)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],Cc1ccc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,
[Sc]=[V]([Sc][Ni][Zn])[Co][Ti][Zn],COc1ccc(-n2nc(Nc3cc(C)[nH]n3)c3ccccc3c2=O)cc1,
[Sc][Ni][Co][Sc]=[Re][Zn][Ti](=[W])[Zn][Ni][Hf],O=C1Nc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=Cc1[nH]c2c(c1CCC(=O)N1CCCC1)C(=O)CCC2,
[Sc][Sc][Co][Sc]([Ni][Zn])([Ni][Zn])[Ni][Zn],COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1OC,
[Sc]=[Sc][Sc](=[Sc])[Co][Ti][Zn],Cc1cc(Nc2nc(-c3ccc4ccccc4c3)nc3ccccc23)n[nH]1,
[Ni][Sc]([Co][Sc][Co][Sc][Mo])[Ni][Zn],O=C(O)c1ccc(Nc2nccc(Nc3ccc(F)cc3OC(F)(F)F)n2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Ni][Zn],COc1ccccc1CNc1ncnc2c(C(N)=O)cccc12,
[Sc][Mn]([Sc][Zn][Cu])[Sc]=[W],OCc1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,
[Ni][Sc][Mn]([Y])[Sc][Ni][Sc][Mo],O=C(O)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,
[Sc][Co][Sc][Zn][Hf]([Mo])[Nb]([Cu])[Sc]([Zn])[Zn],O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC([S+](O)c2cccc(Cl)c2Cl)CC1,
[Sc][Co][Sc]([Co][Hf][Cu])[Nb]([Zn])[Mo],O=[N+]([O-])c1cnc(NC2CCC(O)CC2)nc1Nc1ccccc1,
[Sc][Co][Ni][Co][Sc][Zn],O=C(Nc1ccccc1)Nc1cccc(C(F)(F)F)c1,
[Co][Ni][Sc]([Cu])=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(O)cc34)c2)cc1,
[Zn][Ti][Co][Sc]([Co][Sc][Zn][Zn])[Y][Zn],Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc(C#N)cc3)n2)n[nH]1,
[Sc][Zn]1[Mn][Co][Zn]([Zn])[Zn]1[Ni][Co][Sc]([Ni])[Zn],CC1=C(C(=O)Nc2ccc(F)c(Cl)c2)C(c2ccco2)n2c(nc3ccccc32)N1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Ni][Zn])[Ni][Zn],COCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,
[Sc][Zn][V]([Zn])[Sc]([Ni])[Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y],COc1cc2c(Oc3ccc(-c4cnc(Cc5ccccc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,
[Sc][Co][Ni][Zn]1[Zn][Zn]([Sc])[Zn]([W]([Sc])[Zn][Sc]([Sc])([Sc])[Zn][Zn])[Zn]1,N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1N=C1SC(=C2SC(C(=O)Nc3ccccc3)=NN2c2ccccc2)C(=O)N1c1ccccc1,
[Sc][Sc]=[Sc][Sc][Co][Sc][Zn],FC(F)(F)c1cccc(Nc2nccc(-c3cnn4nc(-c5ccccc5)ccc34)n2)c1,
[Zn][Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],O=C(O)CCc1c(C=C2C(=O)Nc3ccc(Br)cc32)[nH]c2c1C(=O)CCC2,
[Co][Ni][Sc][Co][Sc]([Zn])[Co][Sc][Ni][Zn][Ni][Co],Cc1cnc(Nc2cccc(S(N)(=O)=O)c2)nc1Nc1ccc(OCC(N)=O)cc1,
[Mo][Zn][Ti](=[W])[Zn][Re]=[Sc][Ni][Hf],O=C(O)CCc1c(C=C2C(=O)Nc3ccc(S(=O)(=O)N4CCCCC4)cc32)[nH]c2c1C(=O)CCC2,
[Sc][Ni][Co][Sc][Co][Sc]1[Co][Zn][Sc]([Zn]([Zn])[Zn])[Ni]1,CCN(CC)c1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,
[Sc][Sc]([Sc])=[Sc][Co][Zn][Mn],c1ccc(-c2oc3ncnc(NCCc4c[nH]cn4)c3c2-c2ccccc2)cc1,
[Sc][Zn][Sc][Zn][Sc]([Sc][Y][Zn])=[Sc][Co][Zn],CNc1ncc2c(-c3ccc(N4CCN(C)CC4)nc3)nn(Cc3cn(Cc4ccccc4)nn3)c2n1,
[Zn][Y][Sc][Co][Sc]=[Sc][Hf],CN1CCN(c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2)CC1,
[Sc][Co][Ni][Co][Sc][Sc]([Zn])[Ti][Ni][Co][Zn][Y],CCn1cc(-c2ccnc3[nH]c(C(=O)NCCN4CCOCC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,
[Sc][Zn][Zn][Co][Ti]([Zn])[Ni][Ni][Zn],CCOC(=O)c1c(C)n[nH]c1NN=CCc1ccccc1,
[Sc][Sc]([Sc][Zn])[Ni][Co][Sc][Zn],Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)Nc2ccc(Br)cc2)cc1,
[Sc][Co][Sc][Sc](=[Sc])[Sc][Zn],Clc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccccc3)n2)cc1,
[Sc][Zn][Nb]1[Zn][Ni][Zn]2[Zn]([Co][Ti]([Ni][Ni][Zn])[Zn]2[Sc][Zn][Mn])[Zn]1,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(Cc3ccccc3)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,
[Zn][Ni][Sc][Zn][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y][Zn],COc1cccc(CNC(=O)Cn2cc(-c3cnc4c(Nc5cc(CN6CCCC(C)C6)ns5)nc(C)cn34)cn2)c1,
[Co][Sc][Sc]=[Ti][Co],Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,
[Ni][Sc]([Zn])[Co][Sc]=[Sc][Sc][Zn][Nb][Zn][Ni][Zn],CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cs1,
[Zn][Ni][Sc](=[Sc][Co][Sc][Co][Ni][Sc]([Zn])[Zn])[Ni][Zn][Y],COc1cc2c(Nc3cnc(NC(=O)c4ccc(C)c(Br)c4)nc3)ncnc2cc1OCCCN1CCOCC1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Zn]1[Zn][Zn][Zn][Zn]([Ni][Zn][Ni][Zn])[Zn]1,COCCCOC1C=C(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)C=CC1,
[Sc][Zn][Sc]([Sc])[Sc]=[Ti][Co][Ni][Zn],CCCC(=O)Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccccc3)cc12,
[Zn][Zn][Sc][Sc][Zn][Zn][Sc][Sc]=[W],N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)cc1,
[Zn][Sc][Co][Sc]=[Sc]([Ni][Zn][Ni][Zn])[Ni][Zn][Ni][Zn],C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Ni][Zn][Y],NC(=O)c1cccc2c(NCc3cccc(OCCN4CCOCC4)c3)ncnc12,
[Sc][Ti]([Sc])([Zn])[Ni][Sc]=[Sc][Cu],Cc1c(C(=O)c2coc3ccc(O)cc23)[nH]c(-c2ccccc2)c1-c1ccccc1,
[Sc][Ni][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)Oc2ccccc2)c1,
[Co][Mn]([Mn][Sc][Ni])[Zn][Hf],Nc1nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc2n1CC1CC1,
[Co][Sc]=[Sc][Sc][Co][Ni][Co][Sc][Zn],Cc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Zn][Sc][Ni][Zn],Cn1nc(C(N)=O)c2c1-c1nc(NCc3ccc(S(C)(=O)=O)cc3)ncc1CC2,
[Zn][Sc][Co][Ni][Co][Sc][Sc][Co][Sc]([Zn])[Hf][Nb],CCc1cc(NC(=O)Nc2ccc(-c3cnc(Nc4cc(N5CCC(N)C5)nc(C)n4)s3)cc2)no1,
[Zn][Sc][Co][Ni][Co][Sc][Ti][Co][Ni][Sc][Ni][Zn][Y],CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)[nH]n3)cc2)no1,
[Ti]=[Sc][Hf],c1cc2c(ncc3ccc(C4CCCCC4)n32)[nH]1,
[Sc][Ni][Co][Sc][Zn][Co][Sc]=[Sc]([Sc])[Sc],O=S(=O)(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1)c1ccccc1,
[Cu][Sc]([Sc][Sc]([Ni][Zn])[Ni][Zn])[Ni][Co][Sc][Ni][Ni][Zn],COC(=O)c1cccc(NC(=O)c2cc(-n3cc(-c4cc(OC)cc(OC)c4)nn3)ccc2O)c1,
[Co][Sc][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4csc(N)n4)c3)ncnc12,
[Ni][Mn]([Ni])[Sc][Nb]([Zn])[Mo],O=Cc1c(-c2ccc([N+](=O)[O-])cc2)nc2sc(F)cn12,
[Ti]=[Sc][Sc]([Zn])[Ni][Co][Hf],Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2[nH]ncc2c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Zn],NC(=O)c1cccc2c(NCc3ccccc3Br)ncnc12,
[Ti]=[Sc]([Zn])[Co][Ni][Zn]1[Zn]([Zn])[Co][Ni][Zn][Zn]1[Sc][Zn],CC1=C(C(=O)Nc2cc(Cl)c3[nH]ncc3c2)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,
[Sc][Zn][Y][Mn]([Zn])[Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3c(N4CCN(Cc5ccncc5)CC4)c(Br)cnc3[nH]2)cc1,
[Co][Sc]=[Sc]([Zn])[Sc][Co][Ni][Co][Sc]([Zn])[Zn],Cc1ccc(C)c(NC(=O)Nc2ccc(-c3c(C)sc4ncnc(N)c34)cc2)c1,
[Ni][Sc][Mn]([Y])[Sc][Ni][Sc][Zn],CCc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,
[Sc][Zn][W]=[Cr][Zn],Cc1cc2[nH]c3c(c(=O)n2n1)CN(Cc1ccccc1)C3=O,
[Co][Sc]=[Sc][Ni][Co][Sc][Co][Ni][Co][Sc][Ni],Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12,
[Sc][Co][Sc]([Ni])[Co][Sc][Zn],Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1Cl,
[Co][Ni][Sc]=[Sc][Co][Zn]([Y])[Sc][Co][Ni][Sc][Ni][Zn],COc1ccc(C(=O)Nc2cccc(C(CCN3CCC3)Nc3ncnc4c(C(N)=O)cccc34)c2)cc1,
[Co][Sc]=[Sc]([Sc][Co][Sc]=[Sc]([Zn])[Zn])[Hf][Ni][Zn][Ni][Zn],COCCOC1CCC(n2nc(-c3ccc(Nc4nc5cc(Br)cc(C)c5o4)cc3)c3c(N)ncnc32)CC1,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Ni][Sc]=[Sc][Co][Zn][Y],O=C(Nc1ccc(Br)cc1)Nc1ccc(COc2ccc3nc(NCCN4CCOCC4)oc3c2)cc1,
