smiles,Serine_threonine-protein_kinase_mTOR
CNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CNCCC(C)C,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4ccc([N+](=O)[O-])cc4)nc3n2)CC(C)O1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CC(C)OC(C)C4)nc3n2)cc1,1.0
CC(=O)N(C)Cc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
CC(C)CC(=O)NCc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC(C)C(=O)N(C)Cc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(CN(C)S(C)(=O)=O)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(S(C)(=O)=O)cc3)nc2n1,1.0
COCC(=O)N(C)Cc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC(C)NC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(S(C)(=O)=O)c3)nc2n1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1C(=O)NCCO,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(CO)c3)nc2n1,1.0
CC(=O)N(C)Cc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(N(C)S(C)(=O)=O)c3)nc2n1,1.0
CCN(C)C(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
COCCNCc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(S(N)(=O)=O)c3)nc2n1,1.0
CNC(=O)c1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1F,1.0
CNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1OC(F)F,1.0
