smiles,Epidermal_growth_factor_receptor_erbB1
CN(C)CCCOC(=O)C=CC(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
CSCCCNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,0.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCNC(C)=O,1.0
CC=CC(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCCCCCC(=O)NO,1.0
C=CC(=O)Nc1cc2c(Nc3cc(OC)c(Cl)cc3OC)ncnc2cc1OCCNC(C)=O,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCNC(=O)NCC,1.0
Fc1ccc(Nc2ncnc3ccccc23)cc1Cl,1.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)C(C)C(N)=O,1.0
COc1cc2ncnc(Nc3cccc(C#N)c3)c2cc1OC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCNC(=O)CN(C)C,1.0
COc1cc2nc(Cl)nc(Nc3ccc(S(N)(=O)=O)cc3)c2cc1OC,0.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNCCN,1.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(C(C)(C)C)cc3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCN(C)C,1.0
C=CC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,1.0
O=C(C=CC(F)(F)F)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3cc(Cl)c(Cl)cc3F)ncnc2cc1OCCNC(=O)COC,1.0
COc1cc2ncnc(Nc3cccc(C(=O)O)c3)c2cc1OC,0.0
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,0.0
Cc1cccc(Nc2ncnc3ccc(N=NN(C)C)cc23)c1,1.0
CN(CC=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCO,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(F)c3F)ncnc2cc1OCCNC(C)=O,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CS(C)(=O)=O,1.0
CC(C)N(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
CCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1.0
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(=C)C,1.0
O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,1.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,1.0
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(CC)c3)c2c1,0.0
COc1cc2ncnc(N(C)c3cccc(C(F)(F)F)c3)c2cc1OC,0.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,1.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)NO)cc23)c1,1.0
NP(=O)(OCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)N(CCCl)CCCl,1.0
CNCC(O)COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN(C(C)C)C(C)C(N)=O,1.0
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,1.0
CC(C)CC(NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(C)=O,1.0
CC(C)(O)C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCNCCC=O,1.0
CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,1.0
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(S(N)(=O)=O)cc3)c2c1,0.0
CN(C)CCCNC(=O)C=CC(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
