smiles,Serine_threonine-protein_kinase_AKT
Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12,0.0
Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1,0.0
COc1nc(Br)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1.0
Nc1nc(Nc2ccc3ncsc3c2)cc(N2CCCC2C(=O)NCCc2cccc(I)c2)n1,0.0
N=C(c1ccccc1)n1c(=N)ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)cc21,1.0
O=C1Cc2ccccc2Cc2cc(NCc3ccccc3)ccc21,0.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc2c1NCCC2,1.0
CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.0
Cc1ccccc1S(=O)(=O)NCC(O)CN1CCCC2(CCN(c3ncnc(N)c3C3CC3)C2)C1,1.0
CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)n1C,1.0
NC1(C(=O)NC(Cc2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,1.0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4cccc(C(C)(C)C)c4)c3)cc2s1,1.0
COc1ccc(CCNC(=O)NC2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1OC,0.0
CC(n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CC4(CCOCC4)C3)cn2)cs1)C(F)(F)F,1.0
Cc1n[nH]c2cnc(-c3cncc(OCC(N)Cc4cccc(F)c4F)c3)cc12,1.0
N=C(c1ccccc1)n1c(=N)ccc2nc(-c3ccc(C4(N)CC(F)(F)C4)cc3)c(-c3ccccc3)cc21,1.0
CS(=O)(=O)CCNCc1coc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)c1,0.0
Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1,0.0
CNC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,0.0
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3nncs3)c2)cc1,0.0
Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,0.0
CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCN2CCC2)CC1,1.0
NC(COc1cncc(-c2ccc3c(c2)C(c2ccc[nH]2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,1.0
NC(=O)COc1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1,1.0
Cc1cccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1.0
N#Cc1ccc2nc(C3CCN(Cc4ccc(-c5nc6ccnn6cc5-c5ccccc5)cc4)CC3)[nH]c2c1,1.0
CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C,0.0
CC1SCc2ncnc(N3CCN(C(=O)C(N)Cc4ccc(Cl)c(F)c4)CC3)c21,1.0
Cc1cc(-c2cn(CCO)c(C3CCN(c4ncnc(N)c4-c4cn[nH]c4)CC3)n2)ccc1F,1.0
CC(C)(C)c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,0.0
Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,1.0
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(OCC5CCCCC5)c4)c3)cc12,0.0
CNc1c(-c2ccccc2)c(-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)nc2nc(C)cn12,1.0
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CC2CCN2)CC1,1.0
COCCN(C)CCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,1.0
CN(C)c1ncnc2c1ncn2CC(=O)c1c[nH]c2ccccc12,0.0
O=C1Cc2ccccc2Cc2cc(Nc3ccccc3)ccc21,0.0
NC(COc1cncc(-c2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12,1.0
NS(=O)(=O)c1nnc(NS(=O)(=O)c2cccc3cccnc23)s1,0.0
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccn1,0.0
NC(COc1cncc(-c2ccc3cnc(Cl)cc3c2)c1)Cc1c[nH]c2ccccc12,1.0
CCCC(NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(=O)O)NC(=O)C(N)CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CN)C(=O)NC(CCC(C)C)C(N)=O,0.0
NC1(Cc2ccccc2)CCN(S(=O)(=O)c2cccc3cnccc23)CC1,0.0
c1nc(N2CCC3(CCCCC3)CC2)c2nc[nH]c2n1,0.0
Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,0.0
Nc1ncnc(N2CCC(c3nc(-c4ccnc(C(F)(F)F)c4)cn3CCN3CCC3)CC2)c1OCC(F)(F)F,1.0
CC1CC(O)c2ncnc(N3CCN(C(=O)C(CNC(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,1.0
N=C(N)NCCNc1ccc(C(=O)Nc2ccc(N(Cc3cccc4ccccc34)Cc3cccc4ccccc34)cc2)cc1-c1ccccc1,0.0
COc1cc(C)c(S(N)(=O)=O)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,0.0
c1ccc(Oc2ccc(Nc3ncc(-c4ccccc4)o3)cc2)cc1,0.0
O=C(Nc1ccc(Oc2ccnc(-c3ncc(C(F)(F)F)[nH]3)c2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,0.0
COc1ccc(-c2cc3c(N)ncnc3o2)cc1,0.0
S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1,0.0
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2C2CCNC2)CC1,1.0
NC1(c2ccc(-c3c(-c4ccccc4)ccc4ccnn34)cc2)CCC1,0.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2ccccc2C1,1.0
Cc1ccc(-n2cc(C(=O)c3c(C)[nH]c(-c4ccccc4)c3-c3ccccc3)c(C(=O)Nc3ccccc3)n2)cc1,0.0
CC1CN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)CC(C)O1,1.0
COC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1-c1ccc(F)cc1,1.0
