smiles,Serine_threonine-protein_kinase_PIM1
NC1CCCC(Nc2cccc(-c3n[nH]c4cnc(-c5cccnc5)cc34)n2)C1,1.0
COC1CCN(c2c(NC(=O)c3nc(-c4ncccc4F)sc3N)cnn2C)CCC1N,1.0
CC1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC(C)(C)C)nc34)[nH]c21,1.0
CCOC(=O)c1cccc2[nH]c(-c3ccc(N4CCC(N)C4)cc3)nc12,0.0
Oc1ccc(-c2n[nH]c(Nc3cccc(Cl)c3)c2-c2ccc(O)cc2)cc1,0.0
CC1COCCN1c1nnc(-c2ccc3[nH]cc(-c4cncc(C5CC5)n4)c3c2)o1,1.0
Nc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,1.0
FC(F)(F)Oc1cccc(Nc2nnnc3ccc(NCC4CCNCC4)nc23)c1,1.0
O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Br)cc12,1.0
Cn1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cn1,1.0
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCC(F)(F)C5)n4)c3c2)o1,1.0
COc1ccc(Nc2ncc(-c3ccccc3)o2)cc1OC,0.0
NC1CCC(Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2)CC1,1.0
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCN(CCN)CC1,1.0
O=C(O)c1cc2cc(Br)cc(OCc3ccncc3)c2o1,0.0
CNC(=O)c1cc2c(-c3ccccc3F)n[nH]c2s1,1.0
COc1ccc(-c2ccncc2)cc1C(N)=O,0.0
CC(C)CCNC1=NC(=Cc2ccc3c(c2)OCO3)C(=O)N1C,0.0
CSc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2c(=O)n1C,1.0
COC(=O)NC1C(C)CC(c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)CC1N,1.0
CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,0.0
CN1CCN(Cc2ccc3c(c2)-c2n[nH]c(=O)c4cccc(c24)O3)CC1,0.0
CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,1.0
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1C1CCC(N)C(F)CO1,1.0
CN1CC2CCC1CN2Cc1nc2c(oc3ccc(Br)cc32)c(=O)[nH]1,1.0
Cc1nc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cnc1N,1.0
Cc1nnc(-c2ccc3[nH]cc(-c4cccc(OC(C)C)n4)c3c2)o1,1.0
CC1(O)CNCCN(c2cccc(-n3ncc4cnc(-c5cnn(CC(F)(F)F)c5)cc43)n2)C1,1.0
Cc1ccc(-n2ncc3cnc(-c4cnn(CC(F)(F)F)c4)cc32)nc1N1CCNCC(O)C1,1.0
N#Cc1c(-c2cccs2)cc(-c2cc3c(ccc4ccccc43)oc2=O)nc1N,0.0
Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1(C)CC1,1.0
Cn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC(O)C3)n2)cn1,1.0
CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,0.0
Cc1ccccc1-c1c(-c2ccc3[nH]nc(C)c3c2)nnn1Cc1ccccc1,1.0
Cc1cn(C2C(C)CN(c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)CC2N)nn1,1.0
Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCC3)nc2c1Br,1.0
CC(C)C1CNC(=O)c2cc(-c3cccc(OC(F)(F)F)c3)c(-c3ccc(CN)cc3)n21,1.0
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCCC3)nc2c1Br,1.0
Cn1c(NC(C)(C)C)nc2c(-c3cc4n(c3)CCNC4=O)cccc2c1=O,1.0
COC(=O)NC1C(C)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C)cc3F)n2)CC1N,1.0
Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC(C)(C)C,1.0
Oc1ccc(Nc2ncnc3scc(Cl)c23)cc1,0.0
COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN1CCN(C(C)C)CC1)CC2,0.0
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)c1ccccn1,1.0
COc1ccc(-c2c[nH]c3ccc(-c4cncc(NCCN(C)C)n4)cc23)cc1,1.0
NCCNc1cc(-c2n[nH]c3cnc(-c4cccnc4)cc23)ccn1,1.0
NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,0.0
c1cc(OCC2(CC3CC3)CCNCC2)c2nc(-c3nnc4ccccn34)ccc2c1,1.0
CCC1CNCCN1C(=NC)C(C=N)NC(=O)c1nc(-c2c(F)cccc2F)sc1N,1.0
COc1ccc(OC)c(NC(=O)c2cnn3c(-c4ccccc4)ccnc23)c1,0.0
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(-c5ccc(Cl)cc5)n4)c3c2)o1,1.0
COCC1CC1c1c(Cl)c2c(Cl)cc(C(N)=O)nc2n1C1CCCNC1,1.0
c1ccc(Nc2ncnc3ccccc23)cc1,0.0
Cc1n[nH]c2cnc(-c3cncc(N4CCC(N)CC4)n3)cc12,1.0
CC1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CC(N)C1O,1.0
CCn1c2cc(Cl)c(F)cc2c(=O)c2c(=O)o[nH]c21,1.0
NC(=O)Cc1cc2c(-c3cccc(N4CCNCC4)n3)n[nH]c2cn1,1.0
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1C1OCC(C)(CN)CO1,1.0
CC(=O)NCc1ccc(-c2cncc(-n3ncc4ccc(NC(C)C)cc43)n2)cc1,0.0
Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12,0.0
O=c1[nH]n2ccccc2c1Br,0.0
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCOCC5)n4)c3c2)s1,1.0
COc1cccc(-c2cc3c(=O)[nH]c4ccccc4n3c2)c1,1.0
CC1(COc2cccc3ccc(-c4nnc5ccccn45)nc23)CCN(CCO)CC1,1.0
CC(C)CC1CNC(=O)c2cc(-c3cccc4cccnc34)[nH]c21,1.0
O=c1[nH]c(C2CCCNC2)nc2c1oc1ccc(Br)cc12,1.0
c1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)cc1,1.0
O=C1NC(=S)SC1=Cc1ccc2ncccc2c1,1.0
Fc1cccc(F)c1-c1ccc2cnc(Nc3cnccc3C3=CCNCC3)n2n1,1.0
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CCC(N)C1,1.0
CN1CCN(c2ccc(Nc3nc4c(-c5nnc[nH]5)cccc4c4cnccc34)c(Cl)c2)CC1,1.0
NC1CCCC1Oc1cncc(-c2cc3c(cn2)cnn3-c2ccccn2)n1,1.0
CCn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCC(N)CC3)n2)cn1,1.0
O=C(Nc1ccc([N+](=O)[O-])cc1)N1CCc2[nH]c3c(Cl)cc(Cl)cc3c2C1,0.0
NC1CCCN(c2ccc(-c3n[nH]c4cnc(-c5cccnc5)cc34)cn2)C1,1.0
CN(C)CCOc1cncc(-c2ccc3[nH]cc(C(=O)c4ccccc4)c3c2)n1,1.0
NCCCCNc1nccc(-c2ccc3oc(C(=O)O)cc3c2)n1,1.0
Cn1ncc(NC(=O)c2csc(-c3n[nH]c4ccccc34)n2)c1C1CCC(N)C(F)CO1,1.0
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Br,0.0
O=C1NC(Nc2ccccc2)=NC1=Cc1ccc2c(c1)OCO2,1.0
Nc1nnc(-c2ccc3[nH]cc(-c4ccccc4F)c3c2)o1,1.0
CCn1c(-c2nonc2N)nc2ccc(F)cc21,0.0
Nc1cc(-c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)ncn1,1.0
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(Cl)cc32)cc1,0.0
Cc1oc2c(O)c3c(c(O)c2c1C(=O)N1CCC(N)C1)C(=O)c1ccccc1C3=O,0.0
Cn1cc(-c2cc3c(-c4cccc(N5CCCC(N)C5)n4)nn(C)c3cn2)cn1,1.0
C=CC1(C)C=C2C(=O)C(O)=C3C(C)(C(=O)O)CCC4CC34C2(O)C(=O)C1,0.0
