smiles,Serine_threonine-protein_kinase_B-raf
O=C1NC(=S)N(c2ccc(Br)cc2)C(=O)C1=Cc1ccc(-c2ccc(C(=O)O)cc2)o1,0.0
Cn1c(Nc2cc(C(F)(F)F)ccc2F)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,1.0
Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCN(C)CC3)nc12,1.0
CC(F)(F)c1ccnc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)c1,1.0
COc1c(CN2CCCC2)cc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(Nc2ncnc3cnc(N4CCC(F)C4)nc23)c1,1.0
Oc1c(Br)cc(C=C2c3cc(I)ccc3NC2O)cc1Br,1.0
O=C(NCCCN1CCOCC1)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,0.0
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(OC(F)(F)C(F)F)c3)ccc2[nH]1,1.0
Cc1ncc(NC(=O)c2cccc(S(C)(=O)=O)c2)cc1-c1ccnc(N2CCOCC2)c1,1.0
Cc1ccc(C(=O)Nc2cc(N(C)CCN(C)C)cc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CCOCC3)nc12,1.0
CCOC(=O)c1oc2cnccc2c1Nc1ccc2c(O)cccc2c1,1.0
COc1c(CNC(C)C)cc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(Nc2ncnc3cnc(N4CCOCC4)nc23)c1,1.0
CNC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,0.0
Cc1ccc(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCC(F)C3)nc12,1.0
NC1CC(Oc2ccc3ncc(-c4ccc5cnccc5c4)n3n2)C1,0.0
CC(C)CC1(C)OC(c2ccnc(N)n2)=C(c2cc(Cl)cc(NS(=O)(=O)c3c(F)cccc3F)c2F)C1=O,1.0
Cc1ccc(NC(=O)c2cccc(S(C)(=O)=O)c2)cc1-c1cc(N2CCOCC2)c(=O)n(C)c1,1.0
