smiles,Tyrosine-protein_kinase_BTK
CC1(C)CC2CCC(c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CN2C1=O,1.0
Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3OC(F)F)c12,1.0
Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)c(F)cc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
CC(=O)Nc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3O)c12,1.0
N#Cc1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)c(F)c2)c1,1.0
Cc1cc(C(F)(F)F)cc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)n1,1.0
CC(C)c1cc(C(F)(F)F)cc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)n1,1.0
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,1.0
CC1CC(=O)N2CC(c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CCC12,1.0
CC(C)(F)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,1.0
Nc1ncc(Cl)n2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3Cl)c12,1.0
COc1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4c(Cl)cnc(N)c34)c(OC)c2)c1,1.0
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)c(F)cc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(F)cnc(N)c12,1.0
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3N(C2)C(=O)CC3(C)C)n2ccnc(N)c12,1.0
Nc1ncc(C(F)(F)F)n2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3Cl)c12,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
CNc1nccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,1.0
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(F)cnc(N)c12,1.0
CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2c(C(F)(F)F)cnc(N)c12,1.0
CC(O)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,1.0
N#Cc1cnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)cc1C(F)(F)F,1.0
Cc1cc(-c2nc(C3CCC4CCC(=O)N4C3)n3ccnc(N)c23)ccc1C(=O)Nc1cc(C#N)ccn1,1.0
COC(C)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,1.0
COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)c(F)cc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
Nc1ncc(F)n2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3O)c12,1.0
CC(C)(O)c1ccnc(NC(=O)c2ccc(-c3nc(C4CCC5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,1.0
Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc(C2CCC3CCC(=O)N3C2)n2ccnc(N)c12,1.0
Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,0.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2S(C)(=O)=O)c1,1.0
C=CC(=O)Nc1cccc(N(C)c2nc(Nc3ccc(OCCO)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2SC)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCP(=O)(OCC)OCC)cc3)ncc2Cl)c1,1.0
Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,1.0
C=CC(=C)Nc1cccc(Nc2nc(Nc3ccc(OCOC)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(=O)CN(CCOC)CCOC)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N(CCOC)CCOC)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)N(CCOC)CCOC)cc3)ncc2Cl)c1,1.0
